Year,Année,ISO,Jurisdiction,Juridiction,Species group,"Groupe d'espèces",Tenure (En),Tenure (Fr),Number of seedlings,Data qualifier,Nombre de semis,Qualificatifs de données
1985,1985,AB,Alberta,Alberta,Miscellaneous softwoods,Résineux divers,Provincial land,Terres provinciales,3000,a,3000,a
1985,1985,AB,Alberta,Alberta,Pine,Pin,Provincial land,Terres provinciales,3383493,a,3383493,a
1985,1985,AB,Alberta,Alberta,Spruce,Épinette,Provincial land,Terres provinciales,24394972,a,24394972,a
1985,1985,AB,Alberta,Alberta,Unspecified,Indéterminée,Provincial land,Terres provinciales,0,a,0,a
1985,1985,BC,British Columbia,Colombie-Britannique,Unspecified,Indéterminée,Federal land,Terres fédérales,0,a,0,a
1985,1985,MB,Manitoba,Manitoba,Unspecified,Indéterminée,Federal land,Terres fédérales,0,a,0,a
1985,1985,NB,New Brunswick,Nouveau-Brunswick,Unspecified,Indéterminée,Federal land,Terres fédérales,0,a,0,a
1985,1985,NL,Newfoundland and Labrador,Terre-Neuve-et-Labrador,Unspecified,Indéterminée,Federal land,Terres fédérales,0,a,0,a
1985,1985,NS,Nova Scotia,Nouvelle-Écosse,Unspecified,Indéterminée,Federal land,Terres fédérales,0,a,0,a
1985,1985,NT,Northwest Territories,Territoires du Nord-Ouest,Unspecified,Indéterminée,Federal land,Terres fédérales,0,a,0,a
1985,1985,ON,Ontario,Ontario,Unspecified,Indéterminée,Federal land,Terres fédérales,0,a,0,a
1985,1985,PE,Prince Edward Island,Île-du-Prince-Édouard,Unspecified,Indéterminée,Federal land,Terres fédérales,0,a,0,a
1985,1985,QC,Quebec,Québec,Unspecified,Indéterminée,Federal land,Terres fédérales,0,a,0,a
1985,1985,SK,Saskatchewan,Saskatchewan,Unspecified,Indéterminée,Federal land,Terres fédérales,0,a,0,a
1985,1985,YK,Yukon,Yukon,Unspecified,Indéterminée,Federal land,Terres fédérales,0,a,0,a
1986,1986,AB,Alberta,Alberta,Unspecified,Indéterminée,Federal land,Terres fédérales,0,a,0,a
1986,1986,AB,Alberta,Alberta,Douglas-fir,Douglas taxifolié,Provincial land,Terres provinciales,90000,a,90000,a
1986,1986,AB,Alberta,Alberta,Fir,Sapin,Provincial land,Terres provinciales,0,a,0,a
1986,1986,AB,Alberta,Alberta,Miscellaneous hardwoods,Feuillus divers,Provincial land,Terres provinciales,0,a,0,a
1986,1986,AB,Alberta,Alberta,Miscellaneous softwoods,Résineux divers,Provincial land,Terres provinciales,0,a,0,a
1986,1986,AB,Alberta,Alberta,Pine,Pin,Provincial land,Terres provinciales,3470778,a,3470778,a
1986,1986,AB,Alberta,Alberta,Spruce,Épinette,Provincial land,Terres provinciales,21932585,a,21932585,a
1986,1986,AB,Alberta,Alberta,Unspecified,Indéterminée,Provincial land,Terres provinciales,0,a,0,a
1986,1986,BC,British Columbia,Colombie-Britannique,Unspecified,Indéterminée,Federal land,Terres fédérales,0,a,0,a
1986,1986,MB,Manitoba,Manitoba,Unspecified,Indéterminée,Federal land,Terres fédérales,0,a,0,a
1986,1986,NB,New Brunswick,Nouveau-Brunswick,Unspecified,Indéterminée,Federal land,Terres fédérales,0,a,0,a
1986,1986,NL,Newfoundland and Labrador,Terre-Neuve-et-Labrador,Unspecified,Indéterminée,Federal land,Terres fédérales,0,a,0,a
1986,1986,NS,Nova Scotia,Nouvelle-Écosse,Unspecified,Indéterminée,Federal land,Terres fédérales,0,a,0,a
1986,1986,NT,Northwest Territories,Territoires du Nord-Ouest,Unspecified,Indéterminée,Federal land,Terres fédérales,0,a,0,a
1986,1986,ON,Ontario,Ontario,Unspecified,Indéterminée,Federal land,Terres fédérales,0,a,0,a
1986,1986,PE,Prince Edward Island,Île-du-Prince-Édouard,Unspecified,Indéterminée,Federal land,Terres fédérales,0,a,0,a
1986,1986,QC,Quebec,Québec,Unspecified,Indéterminée,Federal land,Terres fédérales,0,a,0,a
1986,1986,SK,Saskatchewan,Saskatchewan,Unspecified,Indéterminée,Federal land,Terres fédérales,0,a,0,a
1986,1986,YK,Yukon,Yukon,Unspecified,Indéterminée,Federal land,Terres fédérales,0,a,0,a
1987,1987,AB,Alberta,Alberta,Unspecified,Indéterminée,Federal land,Terres fédérales,0,a,0,a
1987,1987,AB,Alberta,Alberta,Douglas-fir,Douglas taxifolié,Provincial land,Terres provinciales,52000,a,52000,a
1987,1987,AB,Alberta,Alberta,Fir,Sapin,Provincial land,Terres provinciales,0,a,0,a
1987,1987,AB,Alberta,Alberta,Miscellaneous hardwoods,Feuillus divers,Provincial land,Terres provinciales,0,a,0,a
1987,1987,AB,Alberta,Alberta,Miscellaneous softwoods,Résineux divers,Provincial land,Terres provinciales,0,a,0,a
